"lhs","rhs","support","confidence","lift","count","kulc","ir","idade","sexo","escolaridade","renda","tabagismo","hipertensao","diabetes","obesidade","atividade_fisica","desfecho"
"escolaridade=fundamental,tabagismo=sim","grave",0.25,0.882352941176471,2.52100840336134,15,0.798319327731092,0.173913043478261,NA,NA,"fundamental",NA,"sim",NA,NA,NA,NA,NA
"sexo=F,escolaridade=fundamental","grave",0.166666666666667,1,2.85714285714286,10,0.738095238095238,0.523809523809524,NA,"F","fundamental",NA,NA,NA,NA,NA,NA,NA
"escolaridade=fundamental,hipertensao=sim","grave",0.25,1,2.85714285714286,15,0.857142857142857,0.285714285714286,NA,NA,"fundamental",NA,NA,"sim",NA,NA,NA,NA
"diabetes=sim,obesidade=sim","grave",0.3,1,2.85714285714286,18,0.928571428571429,0.142857142857143,NA,NA,NA,NA,NA,NA,"sim","sim",NA,NA
"renda=baixa,obesidade=sim","grave",0.3,0.9,2.57142857142857,18,0.878571428571429,0.0434782608695652,NA,NA,NA,"baixa",NA,NA,NA,"sim",NA,NA
"obesidade=sim,atividade_fisica=nao","grave",0.3,0.857142857142857,2.44897959183673,18,0.857142857142857,0,NA,NA,NA,NA,NA,NA,NA,"sim","nao",NA
"tabagismo=sim,obesidade=sim","grave",0.3,0.857142857142857,2.44897959183673,18,0.857142857142857,0,NA,NA,NA,NA,"sim",NA,NA,"sim",NA,NA
"sexo=F,obesidade=sim","grave",0.216666666666667,1,2.85714285714286,13,0.80952380952381,0.380952380952381,NA,"F",NA,NA,NA,NA,NA,"sim",NA,NA
"hipertensao=sim,obesidade=sim","grave",0.3,0.947368421052632,2.70676691729323,18,0.902255639097744,0.0909090909090909,NA,NA,NA,NA,NA,"sim",NA,"sim",NA,NA
"renda=baixa,diabetes=sim","grave",0.3,1,2.85714285714286,18,0.928571428571429,0.142857142857143,NA,NA,NA,"baixa",NA,NA,"sim",NA,NA,NA
"diabetes=sim,atividade_fisica=nao","grave",0.333333333333333,1,2.85714285714286,20,0.976190476190476,0.0476190476190476,NA,NA,NA,NA,NA,NA,"sim",NA,"nao",NA
"tabagismo=sim,diabetes=sim","grave",0.333333333333333,1,2.85714285714286,20,0.976190476190476,0.0476190476190476,NA,NA,NA,NA,"sim",NA,"sim",NA,NA,NA
"sexo=F,diabetes=sim","grave",0.216666666666667,0.928571428571429,2.6530612244898,13,0.773809523809524,0.318181818181818,NA,"F",NA,NA,NA,NA,"sim",NA,NA,NA
"renda=baixa,atividade_fisica=nao","grave",0.3,0.857142857142857,2.44897959183673,18,0.857142857142857,0,NA,NA,NA,"baixa",NA,NA,NA,NA,"nao",NA
"renda=baixa,tabagismo=sim","grave",0.3,0.857142857142857,2.44897959183673,18,0.857142857142857,0,NA,NA,NA,"baixa","sim",NA,NA,NA,NA,NA
"sexo=F,renda=baixa","grave",0.216666666666667,1,2.85714285714286,13,0.80952380952381,0.380952380952381,NA,"F",NA,"baixa",NA,NA,NA,NA,NA,NA
"renda=baixa,hipertensao=sim","grave",0.3,0.947368421052632,2.70676691729323,18,0.902255639097744,0.0909090909090909,NA,NA,NA,"baixa",NA,"sim",NA,NA,NA,NA
"sexo=F,atividade_fisica=nao","grave",0.216666666666667,0.866666666666667,2.47619047619048,13,0.742857142857143,0.260869565217391,NA,"F",NA,NA,NA,NA,NA,NA,"nao",NA
"hipertensao=sim,atividade_fisica=nao","grave",0.35,0.875,2.5,21,0.9375,0.125,NA,NA,NA,NA,NA,"sim",NA,NA,"nao",NA
"sexo=F,tabagismo=sim","grave",0.216666666666667,0.866666666666667,2.47619047619048,13,0.742857142857143,0.260869565217391,NA,"F",NA,NA,"sim",NA,NA,NA,NA,NA
"tabagismo=sim,hipertensao=sim","grave",0.35,0.875,2.5,21,0.9375,0.125,NA,NA,NA,NA,"sim","sim",NA,NA,NA,NA
"sexo=M,hipertensao=sim,atividade_fisica=nao","grave",0.133333333333333,0.888888888888889,2.53968253968254,8,0.634920634920635,0.545454545454545,NA,"M",NA,NA,NA,"sim",NA,NA,"nao",NA
"sexo=M,tabagismo=sim,hipertensao=sim","grave",0.133333333333333,0.888888888888889,2.53968253968254,8,0.634920634920635,0.545454545454545,NA,"M",NA,NA,"sim","sim",NA,NA,NA,NA
